time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
10.882,CartoonTeacher,3.257706,3.0619810000000003
10.904000000000002,CartoonTeacher,3.2403720000000003,3.065872
10.927,CartoonTeacher,3.238541,3.071625
10.949000000000002,CartoonTeacher,3.208023,3.092148
10.970999999999998,CartoonTeacher,3.185028,3.069229
10.994000000000002,CartoonTeacher,3.183441,3.063705
11.015999999999998,CartoonTeacher,3.183701,3.059616
11.037,CartoonTeacher,3.171692,3.048645
11.06,CartoonTeacher,3.172287,3.048294
11.081,CartoonTeacher,3.155106,3.036453
11.104,CartoonTeacher,3.225159,3.050919
11.126,CartoonTeacher,3.123657,3.031464
11.15,CartoonTeacher,3.172501,3.011246
11.172,CartoonTeacher,3.1983490000000003,3.0138700000000003
11.193,CartoonTeacher,3.234283,3.028946
11.215,CartoonTeacher,3.219162,3.028397
11.237,CartoonTeacher,3.22081,3.019135
11.259,CartoonTeacher,3.227615,3.042435
11.281,CartoonTeacher,3.249557,3.042297
11.305,CartoonTeacher,3.254242,3.049881
11.327,CartoonTeacher,3.262894,3.04187
11.349,CartoonTeacher,3.268967,3.041748
11.372,CartoonTeacher,3.2854,3.0420990000000003
11.396,CartoonTeacher,3.301239,3.050934
11.42,CartoonTeacher,3.302551,3.063843
11.442,CartoonTeacher,3.304153,3.085739
11.465,CartoonTeacher,3.3059540000000003,3.086746
11.493,CartoonTeacher,3.317444,3.097351
11.526,CartoonTeacher,3.319763,3.086533
11.56,CartoonTeacher,3.30722,3.105042
11.594,CartoonTeacher,3.303711,3.104523
11.627,CartoonTeacher,3.301529,3.103104
11.66,CartoonTeacher,3.3033910000000004,3.126266
11.693,CartoonTeacher,3.341049,3.102966
11.726,CartoonTeacher,3.34079,3.07843
11.76,CartoonTeacher,3.327866,3.066513
11.793,CartoonTeacher,3.335083,3.062622
11.826,CartoonTeacher,3.339035,3.073288
11.861,CartoonTeacher,3.352783,3.071976
11.893,CartoonTeacher,3.359818,3.0801540000000003
11.928,CartoonTeacher,3.377014,3.122726
11.959,CartoonTeacher,3.3925019999999995,3.121475
11.994000000000002,CartoonTeacher,3.3990480000000005,3.134369
12.026,CartoonTeacher,3.4109800000000003,3.123123
12.059,CartoonTeacher,3.411835,3.12381
12.091,CartoonTeacher,3.417328,3.129654
12.125,CartoonTeacher,3.4235839999999995,3.114319
12.158,CartoonTeacher,3.414108,3.144104
12.192,CartoonTeacher,3.389221,3.140427
12.225,CartoonTeacher,3.405945,3.12059
12.247,CartoonTeacher,3.403717,3.130096
12.27,CartoonTeacher,3.392456,3.105545
12.292,CartoonTeacher,3.342361,3.153809
12.315,CartoonTeacher,3.356659,3.068222
12.337,CartoonTeacher,3.369583,3.122513
12.359000000000002,CartoonTeacher,3.376938,3.148941
12.380999999999998,CartoonTeacher,3.3754120000000003,3.13269
12.402,CartoonTeacher,3.387146,3.130981
12.425,CartoonTeacher,3.413177,3.114609
12.447,CartoonTeacher,3.3522190000000003,3.1147
12.469,CartoonTeacher,3.359894,3.038681
12.491,CartoonTeacher,3.299057,3.10759
12.513,CartoonTeacher,3.221405,3.114792
12.537,CartoonTeacher,3.214752,3.272064
12.559,CartoonTeacher,3.178909,3.08963
12.581,Screen_95,3.17775,3.214432
12.604,SM_Blackboard_Tafel_unten_low_101,3.336792,3.295624
12.625,SM_Blackboard_Tafel_unten_low_101,3.153259,3.233688
12.648,SM_Blackboard_Schiene_low_99,3.147202,3.233734
12.671,SM_Blackboard_Schiene_low_99,3.155838,3.2059330000000004
12.692,SM_Blackboard_Schiene_low_99,3.222626,3.239777
12.714,SM_Blackboard_Tafel_unten_low_101,3.301132,3.32338
12.736,SM_Blackboard_Tafel_unten_low_101,3.250931,3.2989040000000003
12.758,SM_Blackboard_Tafel_unten_low_101,3.310852,3.215942
12.781,SM_Blackboard_Tafel_unten_low_101,3.237625,3.224075
12.805,SM_Blackboard_Schiene_low_99,3.24942,3.156067
12.827,SM_Blackboard_Tafel_unten_low_101,3.318909,3.282455
12.849,FrontWall,3.238052,3.381485
12.872,leftwall,3.257813,3.426117
12.898,leftwall,3.197739,3.364059
12.92,leftwall_5,3.178574,3.417847
12.943,leftwall,3.172668,3.335068
12.965,leftwall_5,3.179443,3.318115
12.994000000000002,leftwall_5,3.178146,3.390915
13.017,leftwall_5,3.155716,3.372467
13.04,leftwall_5,3.260437,3.473785
13.065,leftwall_5,3.436935,3.386368
13.181,Screen_95,3.729828,3.4880980000000004
13.202,CartoonTeacher,3.779022,3.100845
13.225,CartoonTeacher,3.774078,3.284485
13.247,CartoonTeacher,3.653595,3.4520720000000003
13.268,CartoonTeacher,3.619278,3.256271
13.291,Screen_95,3.5335080000000003,3.412231
13.314,CartoonTeacher,3.4894260000000004,3.5874330000000003
13.334,Screen_95,3.450363,3.499619
13.357,CartoonTeacher,3.498764,3.395111
13.38,CartoonTeacher,3.546677,3.3911290000000003
13.402,CartoonTeacher,3.482849,3.423035
13.424,CartoonTeacher,3.514206,3.454391
13.446,CartoonTeacher,3.45401,3.278625
13.469,CartoonTeacher,3.474991,3.3134
13.491,CartoonTeacher,3.485336,3.389679
13.512,CartoonTeacher,3.527878,3.3376010000000003
13.536,CartoonTeacher,3.5196690000000004,3.480637
13.558,CartoonTeacher,3.5407260000000003,3.3886260000000004
13.58,CartoonTeacher,3.466385,3.415222
13.602,CartoonTeacher,3.4612730000000003,3.447617
13.624,CartoonTeacher,3.498901,3.3784940000000003
13.645,CartoonTeacher,3.29599,3.37471
13.669,CartoonTeacher,3.3920440000000003,3.408554
13.69,CartoonTeacher,3.406631,3.347107
13.712,CartoonTeacher,3.389465,3.33757
13.737,CartoonTeacher,3.383896,3.26442
13.757,CartoonTeacher,3.345108,3.282715
13.779000000000002,CartoonTeacher,3.329422,3.25914
13.804,CartoonTeacher,3.310196,3.254242
13.826,CartoonTeacher,3.38385,3.175552
13.85,CartoonTeacher,3.4398800000000005,3.137665
